nombre,publicidad,directorTecnico_id,torneo_id
FC Barcelona,Nike,1,6
Real Madrid,Adidas,2,7
Manchester United,Coca-Cola,3,6
Liverpool,Mastercard,4,7
Paris Saint-Germain (PSG),Pepsi,5,6
Bayern Munich,Amazon,6,7
Juventus,T-Mobile,7,6
AC Milan,Samsung,8,7
Borussia Dortmund,McDonald's,9,6
Chelsea,Toyota,10,7
Arsenal,Microsoft,11,6
Inter de Milán,Puma,12,7
Atletico de Madrid,Budweiser,13,6
Manchester City,Verizon,14,7
AS Roma,Visa,15,6
Tottenham Hotspur,PepsiCo,16,7
Boca Juniors,Quilmes,17,6
River Plate,Gillette,18,7
Flamengo,Adidas,19,6
Santos FC,Honda,0,7
