id,nombre,raza,edad,habilidad
1,Darwin,Collie,1,ElMejor
2,Jervis,Labrador,4,Familia
3,Krissy,Ovejero Aleman,13,Guardian
4,Lorne,Doberman,3,Guardian
5,Ivett,Caniche,20,Ruidoso
6,Hercule,Coker Spaniel,9,Pastor
7,Dasha,Salchicha,18,Garronero
8,Rocky,Border Collie,1,ElMejor
9,Petrina,Ovejero Aleman,2,Pastor
10,Waverley,Border Collie,3,Pastor
11,Eliot,Ovejero Aleman,10,Guardian
12,Ardeen,Salchicha,5,Ruidoso
13,Wandis,Border Collie,1,Pastor
14,Arlen,Salchicha,19,Garronero
15,Baillie,Salchicha,14,Garronero
16,Wakefield,Caniche,3,Ruidoso
17,Marni,Sorby,6,Sorbydo
18,Baryram,Pekines,14,Delicado
19,Marya,Caniche,14,Ruidoso
20,Albrecht,Border Collie,14,Lindo
